(350.00, 219.77);
351,00	218,96
352,00	217,91
353,00	218,56
354,00	223,54
355,00	226,10
356,00	226,35
357,00	225,56
358,00	225,30
359,00	224,00
360,00	225,17
361,00	226,04
362,00	224,84
363,00	224,77
364,00	257,47
365,00	257,63
366,00	237,91
367,00	228,25
368,00	227,62
369,00	221,13
370,00	225,86
371,00	224,57
372,00	223,07
373,00	221,97
374,00	226,67
375,00	227,12
376,00	221,70
377,00	224,17
378,00	226,52
379,00	227,81
380,00	229,24
381,00	229,30
382,00	225,35
383,00	226,56
384,00	231,10
385,00	228,56
386,00	234,61
387,00	228,01
388,00	235,91
389,00	227,86
390,00	229,06
391,00	232,86
392,00	232,15
393,00	231,01
394,00	232,92
395,00	231,30
396,00	239,12
397,00	236,29
398,00	235,45
399,00	239,15
400,00	241,08
401,00	245,79
402,00	254,43
403,00	417,94
404,00	1004,83
405,00	1029,59
406,00	294,81
407,00	331,67
408,00	311,55
409,00	270,75
410,00	277,07
411,00	275,94
412,00	284,17
413,00	290,12
414,00	306,01
415,00	307,41
416,00	315,19
417,00	326,26
418,00	333,71
419,00	340,21
420,00	353,75
421,00	366,61
422,00	385,34
423,00	393,22
424,00	410,69
425,00	412,18
426,00	422,12
427,00	433,38
428,00	431,20
429,00	449,14
430,00	463,70
431,00	477,51
432,00	481,91
433,00	507,93
434,00	752,80
435,00	2118,38
436,00	1955,82
437,00	1199,55
438,00	594,29
439,00	574,98
440,00	594,88
441,00	595,73
442,00	605,67
443,00	629,40
444,00	641,24
445,00	670,90
446,00	666,46
447,00	681,56
448,00	693,71
449,00	695,34
450,00	685,23
451,00	681,59
452,00	687,41
453,00	674,06
454,00	663,60
455,00	652,96
456,00	647,00
457,00	642,28
458,00	622,00
459,00	615,68
460,00	614,04
461,00	614,65
462,00	615,48
463,00	611,25
464,00	600,32
465,00	602,33
466,00	598,71
467,00	587,05
468,00	599,55
469,00	588,16
470,00	586,61
471,00	584,10
472,00	589,07
473,00	592,67
474,00	600,03
475,00	587,46
476,00	580,66
477,00	605,68
478,00	583,95
479,00	592,15
480,00	586,52
481,00	602,80
482,00	644,14
483,00	703,31
484,00	815,98
485,00	926,27
486,00	1041,32
487,00	1093,22
488,00	1064,01
489,00	985,21
490,00	903,30
491,00	864,56
492,00	822,87
493,00	779,42
494,00	743,32
